DateTime,Vertical (nm/s2),South (nrad),West (nrad)
2018-04-05T00:32:30,-4.62184728e+01,3.13202747e+01,-6.20092765e+01
2018-04-05T00:32:40,-4.61663739e+01,3.12863239e+01,-6.21116232e+01
2018-04-05T00:32:50,-4.61141829e+01,3.12523066e+01,-6.22138403e+01
2018-04-05T00:33:00,-4.60618998e+01,3.12182228e+01,-6.23159275e+01
2018-04-05T00:33:10,-4.60095247e+01,3.11840726e+01,-6.24178847e+01
2018-04-05T00:33:20,-4.59570577e+01,3.11498561e+01,-6.25197116e+01
2018-04-05T00:33:30,-4.59044989e+01,3.11155733e+01,-6.26214081e+01
2018-04-05T00:33:40,-4.58518485e+01,3.10812242e+01,-6.27229740e+01
2018-04-05T00:33:50,-4.57991065e+01,3.10468091e+01,-6.28244090e+01
2018-04-05T00:34:00,-4.57462730e+01,3.10123278e+01,-6.29257130e+01
